,Unnamed: 0,ev_city,ev_country,ev_state,latitude,longitude
1109,19389,Latacunga,EC,,-0.7754954,-78.52065
1110,19425,Bangui,CT,,11.0493529,-12.4046171
1111,19430,Palma Real,HO,,33.9395772,-116.5121655
1112,19466,LOS ANGELES    ,USA,CA,34.0522342,-118.2436849
1113,19547,DUBLIN         ,USA,VA,37.1056784,-80.6853433
1114,19561,DEADHORSE      ,USA,AK,70.20019959999999,-148.4597191
1115,19567,E.I. BLK 108   ,,GM,18.4790111,73.8566438
1116,19571,CENTRAL POINT  ,USA,OR,42.3759586,-122.9164307
1117,19583,SLEETMUTE      ,USA,AK,61.7025,-157.1697222
1118,19598,JACKSON        ,USA,WY,43.4799291,-110.7624282
1119,19605,Castro Verde,PO,,42.2376227,-8.7256293
1120,19676,LOS ANGELES    ,USA,CA,34.0522342,-118.2436849
1121,19680,LIMA ,PE,,-12.046374,-77.0427934
1122,19718,"Chuxiong City, China",CH,,26.0166667,101.8833333
1123,19736,TANANA         ,USA,AK,65.1719444,-152.0788889
1124,19754,STANLEY        ,USA,ID,44.21553919999999,-114.9351998
1125,19761,SLIGO AIRPORT  ,EI,,,
1126,19770,GRAND CANYON   ,USA,AZ,36.0544445,-112.1401108
1127,19778,STONEYFORD     ,USA,CA,39.3750411,-122.5445485
1128,19784,MEXICO CITY    ,MX,,19.4326077,-99.133208
1129,19833,WILKES-BARRE   ,USA,PA,41.2459149,-75.88130749999999
1130,19839,BANGOR         ,USA,ME,44.80118210000001,-68.77781379999999
1131,19841,BROOKLYN       ,USA,NY,40.6781784,-73.9441579
1132,19844,NEW YORK       ,USA,NY,40.7127837,-74.0059413
1133,19857,ST. LOUIS      ,USA,MO,38.6270025,-90.19940419999999
1134,19914,Florence,USA,KY,38.9989499,-84.62661109999999
1135,19955,Cusco,PE,,-13.53195,-71.96746259999999
1136,20019,BANGKOK        ,TH,,13.7563309,100.5017651
1137,20035,Izhma,RS,,,
1138,20042,CULEBRA        ,,PR,18.3030119,-65.3009914
1139,20089,SPANISH FORK   ,USA,UT,40.114955,-111.654923
1140,20154,BARROW         ,USA,AK,71.29055559999999,-156.7886111
1141,20161,FALLON         ,USA,NV,39.4748693,-118.7770407
1142,20162,44 NW FAIRBANKS,USA,AK,65.285488,-146.7209627
1143,20191,GULKANA        ,USA,AK,62.20863379999999,-145.4514817
1144,20218,Atlantic Ocean,USA,AO,,
1145,20235,COVINGTON      ,USA,KY,39.0836712,-84.5085536
1146,20268,San Salvador,ES,,41.6204269,-5.0870986
1147,20279,Rio de Janeiro,BR,,-22.9068467,-43.1728965
1148,20293,Czestochowska,PL,,50.614677,19.1511694
1149,20335,KOTZEBUE       ,USA,AK,66.89833329999999,-162.5966666
1150,20375,ST EUSTATIUS   ,NT,,,
1151,20395,DFW AIRPORT    ,USA,TX,32.8998091,-97.0403352
1152,20420,Sharm El Sheikh,EG,,27.9158175,34.3299505
1153,20424,STRATFORD      ,USA,CT,41.18454149999999,-73.1331651
1154,20437,WEST MONROE    ,USA,LA,32.5184775,-92.14763529999999
1155,20476,GOLDEN,CA,BC,51.2961188,-116.9631367
1156,20538,MEXIA          ,USA,TX,31.6798895,-96.482203
1157,20569,Moorefield,CA,,43.759108,-80.747619
1158,20578,NORFOLK        ,USA,NE,42.03272339999999,-97.41375529999999
1159,20612,POCATELLO      ,USA,ID,42.8713032,-112.4455344
1160,20627,NEWARK         ,USA,NJ,40.735657,-74.1723667
1161,20659,VENICE         ,USA,LA,33.9850469,-118.4694832
1162,20663,MIAMI          ,USA,FL,25.7616798,-80.1917902
1163,20725,FINDLAY TWNSHP ,USA,PA,40.4790998,-80.2878794
1164,20749,"Ballynacally, County Clare, Republic of Ireland",EI,,52.7192916,-9.0664948
1165,20794,CHICAGO        ,USA,IL,41.8781136,-87.6297982
1166,20797,LUBBOCK        ,USA,TX,33.5778631,-101.8551665
1167,20813,BROOKSVILLE    ,USA,FL,28.5552719,-82.3878709
1168,20814,GLACIER BAY    ,USA,AK,58.7609873,-136.3482591
1169,20821,MONTGOMERY     ,USA,AL,32.3668052,-86.2999689
1170,20825,KENAI          ,USA,AK,60.55444439999999,-151.2583333
1171,20830,North Sea,UK,,50.912738,-2.930262
1172,20887,NEAR YAKIMA    ,USA,WA,46.6020711,-120.5058987
1173,20903,JUNEAU         ,USA,AK,58.3019444,-134.4197222
1174,20926,Kilshanchoe,EI,,53.38391,-6.89274
1175,20932,BILLINGS       ,USA,MT,45.7832856,-108.5006904
1176,20939,Chilpancingo,MX,,17.5515346,-99.5006322
1177,20977,KETCHIKAN      ,USA,AK,55.34222219999999,-131.6461111
1178,20981,SABINE PASS    ,USA,TX,29.7335518,-93.89433269999999
1179,21012,MATHEW         ,USA,VA,36.8994824,-80.8162923
1180,21015,Dublin,EI,,14.3822713,120.9310117
1181,21018,ATLANTA        ,USA,GA,33.7489954,-84.3879824
1182,21071,TAU ,AQ,,34.261207,-118.575822
1183,21083,COLUMBIA FALLS ,USA,MT,48.3799643,-114.1804038
1184,21086,EKUK           ,USA,AK,58.8122145,-158.5606263
1185,21090,MARION         ,USA,IA,42.033279,-91.5968958
1186,21104,BETHEL         ,USA,AK,60.7922222,-161.7558333
1187,21109,"Shepparton, Australia",AS,,-36.3775176,145.4000439
1188,21113,DENVER         ,USA,CO,39.7392358,-104.990251
1189,21135,PLATINUM       ,USA,AK,59.0130556,-161.8163889
1190,21151,NEW STUYAHOK   ,USA,AK,59.4527778,-157.3119443
1191,21155,BUCKLAND       ,USA,AK,65.9797222,-161.1230555
1192,21166,NIGHTMUTE      ,USA,AK,60.4794444,-164.7238889
1193,21168,Kammenniemi,FI,,61.62891209999999,23.8389673
1194,21184,OKLAHOMA CITY  ,USA,OK,35.4675602,-97.5164276
1195,21185,MIDDLETOWN,USA,PA,40.199814,-76.7310806
1196,21237,HAYWARD        ,USA,CA,37.6688205,-122.0807964
1197,21244,Neiva,CO,,2.9344837,-75.2809001
1198,21257,NEAR YAKUTAT   ,USA,AK,59.54694439999999,-139.7272222
1199,21266,CORSICANA      ,USA,TX,32.0954304,-96.46887269999999
1200,21312,BRAZORIA 440L  ,,GM,29.1197482,-95.72287349999999
1201,21326,GRANTS         ,USA,NM,35.14726,-107.8514466
1202,21328,PEARSALL       ,USA,TX,28.8921939,-99.095033
1203,21346,LUMBER CITY    ,USA,GA,31.9293488,-82.6795831
1204,21365,Donalsonville,USA,GA,31.0404625,-84.87909110000001
1205,21400,HOT SPRINGS    ,USA,AR,34.5037004,-93.0551795
1206,21416,LOS ANGELES    ,USA,CA,34.0522342,-118.2436849
1207,21448,ALBUQUERQUE    ,USA,NM,35.0853336,-106.6055534
1208,21461,Buenos Aires,AR,,-34.6036844,-58.3815591
1209,21479,DAYTON         ,USA,OH,39.7589478,-84.1916069
1210,21501,NEW HAVEN      ,USA,CT,41.308274,-72.9278835
1211,21507,"Bruera, Cheshire",UK,,53.139776,-2.842502
1212,21526,ST. CROIX      ,,VI,17.7058446,-64.858516
1213,21571,Billings,USA,MT,45.7832856,-108.5006904
1214,21575,EUGENE ISLAND  ,,GM,29.763832,-93.0882046
1215,21578,Stockstaff am Main,GE,,,
1216,21595,DUTCH HARBOR   ,USA,AK,53.88980000000001,-166.5422
1217,21616,MIAMI          ,USA,FL,25.7616798,-80.1917902
1218,21624,BELLESVILLE    ,USA,MI,42.2047619,-83.4852133
1219,21659,ATLANTIC CITY  ,USA,NJ,39.3642834,-74.4229266
1220,21678,DILLINGHAM     ,USA,AK,59.03972219999999,-158.4575
1221,21679,Snow Lake,CA,,54.87856679999999,-100.0220321
1222,21758,KAUPO          ,USA,HI,20.643209,-156.123993
