,ev_city,ev_country,ev_state,latitude,longitude
46181,BELLE CHASE    ,USA,LA,,
46196,ST. BARTHELEMY ,MB,,,
46212,SHAGELUK       ,USA,AK,,
46230,MEMPHIS        ,USA,TN,,
46249,Riyadh,SA,,,
46274,HILO           ,USA,HI,,
46317,MUNFORD        ,USA,AL,,
46337,CLEVELAND      ,USA,OH,,
46338,JACKSON        ,USA,MS,,
46343,VIEQUES        ,,PR,,
46352,Pontianak,ID,,,
46356,"Slieve Aughty Mountains, Co Galway, Ireland",EI,,,
46402,BURBANK        ,USA,CA,,
46408,LA FORTUNA     ,CS,,,
46434,MEADVIEW       ,USA,AZ,,
46440,FREMONT        ,USA,OH,,
46462,KIVALINA       ,USA,AK,,
46463,San Diego,USA,CA,,
46476,ELGIN AFB      ,USA,FL,,
46499,TYONEK         ,USA,AK,,
46560,Tokyo,JA,,,
46562,TUNUNAK        ,USA,AK,,
46584,Eket,NI,,,
46613,BETHEL         ,USA,AK,,
46638,N. STONINGTON  ,USA,CT,,
46649,Madrid,SP,,,
46658,"Halls Creek, Australia",AS,,,
46670,MIAMI          ,USA,FL,,
46695,Armentières sur Avre,FR,,,
46725,FALSE PASS     ,USA,AK,,
46728,PARIS,FR,,,
46733,,NI,,,
46741,SEYMOUR TWP.   ,USA,WI,,
46785,DENVER         ,USA,CO,,
46795,CARROLLTON     ,USA,GA,,
46797,NASHVILLE      ,USA,TN,,
46800,Michelstadt,GE,,,
46805,KIVALINA       ,USA,AK,,
46823,BUFFALO        ,USA,WY,,
46831,CLEVELAND      ,USA,TX,,
46841,GOLD STRIKE    ,USA,NV,,
46845,CARIBBEAN SEA  ,,CB,,
46849,VALDEZ         ,USA,AK,,
46859,PHOENIX        ,USA,AZ,,
46900,Veracruz,MX,,,
46962,Roshchino,RS,,,
46997,ENNADAI LAKE   ,CA,,,
46999,CHUGIAK        ,USA,AK,,
47002,KANSAS CITY    ,USA,MO,,
47007,Veracruz,MX,,,
47037,INT.COASTAL CTY,USA,LA,,
47042,ANCHORAGE      ,USA,AK,,
47044,Nairobi,KE,,,
47060,MONROVIA       ,LI,,,
47064,PLYMOUTH       ,USA,IN,,
47074,GREENWOOD      ,USA,SC,,
47080,ROMULUS        ,USA,MI,,
47081,JUMLA,NP,,,
47082,Cultus Lake,CA,,,
47086,LOS ANGELES    ,USA,CA,,
47093,TALKEETNA      ,USA,AK,,
47102,LAKE POWELL    ,USA,UT,,
47107,ST GEORGE      ,USA,AK,,
47116,,FI,,,
47117,DILLINGHAM     ,USA,AK,,
47126,NUUK,GL,,,
47131,LEXINGTON      ,USA,KY,,
47150,NASHVILLE      ,USA,TN,,
47155,LUMMI ISLAND   ,USA,WA,,
47211,ATLANTIC OCEAN ,,AO,,
47221,Yao Airport,JA,,,
47222,QIOQUINTON     ,USA,VA,,
47231,ALLAKAKET      ,USA,AK,,
47255,HOLYOKE        ,USA,CO,,
47264,MALINA BAY     ,USA,AK,,
47295,"Kawhia Harbour, New Zealand",NZ,,,
47297,AUBURN         ,USA,ME,,
